
[00:00:00.000 --> 00:00:03.400]  頂展會進入了年尾
[00:00:03.400 --> 00:00:08.000]  不知道最近大家工作的情況是怎樣呢?
[00:00:08.000 --> 00:00:10.400]  通常去到年尾
[00:00:10.400 --> 00:00:13.400]  以往我自己在工作的場景裏面
[00:00:13.400 --> 00:00:14.600]  去到十二月份
[00:00:14.600 --> 00:00:19.600]  如果是需要交當年度的帳的時候
[00:00:19.600 --> 00:00:22.600]  即是有額度的時候
[00:00:22.600 --> 00:00:25.200]  去到十二月尾會怎樣呢?
[00:00:25.200 --> 00:00:28.000]  可能就要去追數
[00:00:28.000 --> 00:00:30.000]  要跑數
[00:00:30.000 --> 00:00:32.400]  盡量達到當年的目標
[00:00:32.400 --> 00:00:34.000]  所以可能很忙碌
[00:00:34.000 --> 00:00:37.400]  又或者如果一些公司是
[00:00:37.400 --> 00:00:40.200]  十二月是做連結的
[00:00:40.200 --> 00:00:42.200]  特別是財務連結的
[00:00:42.200 --> 00:00:44.400]  可能因為要做這個連結
[00:00:44.400 --> 00:00:47.400]  又有很多很多忙碌的事情
[00:00:47.400 --> 00:00:48.400]  財務的處理
[00:00:48.400 --> 00:00:50.400]  這些事情
[00:00:50.400 --> 00:00:53.200]  忙到真的很厲害
[00:00:53.200 --> 00:00:56.000]  又或者我記得我以前曾經有一段日子
[00:00:56.000 --> 00:01:00.000]  在一些外資的公司裏面打工
[00:01:00.000 --> 00:01:02.000]  去到十二月
[00:01:02.000 --> 00:01:04.600]  又有另一番光景
[00:01:04.600 --> 00:01:06.000]  因為外資的公司
[00:01:06.000 --> 00:01:08.000]  通常老闆是甚麼人呢?
[00:01:08.000 --> 00:01:10.000]  是西人
[00:01:10.000 --> 00:01:12.000]  到十二月他們
[00:01:12.000 --> 00:01:19.000]  很多的老闆都會飛回自己的家鄉
[00:01:19.000 --> 00:01:21.000]  和家人度聖誕
[00:01:21.000 --> 00:01:23.400]  所以反而老闆回去之後
[00:01:23.400 --> 00:01:25.400]  離開了公司之後
[00:01:25.400 --> 00:01:27.800]  公司的氣氛
[00:01:27.800 --> 00:01:31.800]  整個月份就已經有一個度假的氣氛
[00:01:31.800 --> 00:01:39.800]  不知道大家現在工作的氣氛又是怎樣呢?
[00:01:39.800 --> 00:01:42.200]  說到公司的氣氛
[00:01:42.200 --> 00:01:47.200]  我相信最近大台有一套熱爆劇
[00:01:47.200 --> 00:01:51.400]  知不知道我說哪一套?
[00:01:51.400 --> 00:01:54.200]  對,大家都點頭了
[00:01:54.200 --> 00:01:57.200]  就是在職場裏面的處境
[00:01:57.200 --> 00:02:02.600]  有沒有人追求?
[00:02:02.600 --> 00:02:04.600]  可以讓我看看嗎?
[00:02:04.600 --> 00:02:06.600]  有多少人追求這套劇?
[00:02:06.600 --> 00:02:08.600]  都有些吧
[00:02:08.600 --> 00:02:13.200]  這套劇每一集都是在說新聞台的職場裏面
[00:02:13.200 --> 00:02:15.000]  不同的陰暗面
[00:02:15.000 --> 00:02:18.400]  昨天我看到網上的一些報導
[00:02:18.400 --> 00:02:22.000]  說最新的收視到27.9%
[00:02:22.000 --> 00:02:25.600]  接近180萬的觀眾去看這套劇
[00:02:25.600 --> 00:02:30.600]  還是在這兩年大台裏面收視的冠軍
[00:02:30.600 --> 00:02:33.200]  為什麼這套劇可以這麼爆呢?
[00:02:33.200 --> 00:02:37.000]  我相信一方面就是回巢那位女主角
[00:02:37.000 --> 00:02:39.000]  可能有相當的吸引力
[00:02:39.000 --> 00:02:42.600]  同時間劇集裏面所形容的職場
[00:02:42.600 --> 00:02:49.400]  裏面那種的互鬥、上位、利用、背叛、出賣
[00:02:49.400 --> 00:02:53.000]  不願背鍋或者牆邊草
[00:02:53.000 --> 00:02:57.800]  這些都是職場人性裏面會出現
[00:02:57.800 --> 00:03:02.400]  一集一集我們見到很實在的一些處境
[00:03:02.400 --> 00:03:06.400]  當然在劇集一定會有誇張的成份
[00:03:06.400 --> 00:03:08.600]  但當中所描繪的
[00:03:08.600 --> 00:03:13.000]  有沒有在我們在你身處的職場裏面
[00:03:13.000 --> 00:03:15.800]  有類似的情況呢?
[00:03:15.800 --> 00:03:17.800]  今天職場系列的講道
[00:03:17.800 --> 00:03:20.400]  我預備了一個講題叫做
[00:03:20.400 --> 00:03:23.200]  「職場無間,忠事主」
[00:03:23.200 --> 00:03:26.400]  透過但爾利書第三章的記載
[00:03:26.400 --> 00:03:31.200]  一起去反思我們身在職場的位置裏面
[00:03:31.200 --> 00:03:33.200]  經文對我們有什麼提醒
[00:03:33.200 --> 00:03:35.200]  首先和大家一起去讀讀
[00:03:35.200 --> 00:03:38.200]  但爾利書第三章一至七節
[00:03:38.200 --> 00:03:45.000]  準備起
[00:03:45.000 --> 00:03:48.600]  尼布格尼薩王造了一個金像
[00:03:48.600 --> 00:03:51.600]  高六十爪、闊六爪
[00:03:51.600 --> 00:03:55.200]  立在巴比倫省的杜拉平原
[00:03:55.200 --> 00:03:59.000]  尼布格尼薩王差人張總督
[00:03:59.000 --> 00:04:03.800]  鑫差、省長、參謀、財務、法官
[00:04:03.800 --> 00:04:08.000]  地方官和各省的官員都召了來
[00:04:08.000 --> 00:04:13.000]  為尼布薩尼所立的像行開綱禮
[00:04:13.000 --> 00:04:19.000]  於是總督、鑫差、省長、參謀、財務、法官
[00:04:19.000 --> 00:04:23.400]  地方官和各省的官員都聚集
[00:04:23.400 --> 00:04:27.400]  站在尼布格尼薩所立的像前
[00:04:27.400 --> 00:04:33.000]  要為尼布格尼薩王所立的像行開綱禮
