
[00:00:00.000 --> 00:00:03.240]  我們先檢查一下自己的手提電話
[00:00:03.240 --> 00:00:04.760]  會發出聲音的裝置
[00:00:04.760 --> 00:00:06.640]  是不是已經調校到靜音
[00:00:06.640 --> 00:00:08.160]  或者可以關掉
[00:00:08.160 --> 00:00:11.840]  讓我們的心能夠專注敬拜神
[00:00:11.840 --> 00:00:15.600]  也讓我們的心能夠專注敬拜神
[00:00:15.600 --> 00:00:18.720]  讓我們的心能夠專注敬拜神
[00:00:18.720 --> 00:00:21.200]  讓我們的心能夠專注敬拜神
[00:00:21.200 --> 00:00:23.880]  讓我們的心能夠專注敬拜神
[00:00:23.880 --> 00:00:26.480]  讓我們的心能夠專注敬拜神
[00:00:26.480 --> 00:00:29.120]  讓我們的心能夠專注敬拜神
[00:00:29.120 --> 00:00:32.360]  讓我們的心能夠經歷上帝自己的恩典
[00:00:32.360 --> 00:00:35.560]  我們也歡迎網上的弟兄姊妹、新朋友
[00:00:35.560 --> 00:00:40.040]  讓我們也能夠一同在當中有一段安靜的時間
[00:00:40.040 --> 00:00:45.160]  今天想用《羅馬書》十二章十三節的祝福
[00:00:45.160 --> 00:00:47.720]  成為我們今天的默想
[00:00:47.720 --> 00:00:51.320]  但願使人有盼望的神
[00:00:51.320 --> 00:00:57.920]  因信將諸般的喜樂、平安充滿你們的心
[00:00:57.920 --> 00:01:02.480]  使你們藉著聖靈的能力大有盼望
[00:01:02.480 --> 00:01:08.400]  我們所相信的那位神
[00:01:08.400 --> 00:01:12.120]  是一位令我們有盼望的上帝
[00:01:12.120 --> 00:01:14.480]  同時因著信
[00:01:14.480 --> 00:01:19.560]  祂將喜樂、平安、恩典充滿我們的心
[00:01:19.560 --> 00:01:23.320]  因著聖靈的同在提醒
[00:01:23.320 --> 00:01:24.960]  讓我們深信
[00:01:24.960 --> 00:01:27.320]  無論我們今天面對什麼狀況
[00:01:27.320 --> 00:01:30.880]  我們仍然大有盼望
[00:01:30.880 --> 00:01:34.040]  我們再讀這一節經文
[00:01:34.040 --> 00:01:35.320]  當我再讀這一節經文的時候
[00:01:35.320 --> 00:01:39.200]  去默想今天神對你有什麼訊息
[00:01:39.200 --> 00:01:42.760]  預備自己的心靈
[00:01:42.760 --> 00:01:45.880]  但願使人有盼望的神
[00:01:45.880 --> 00:01:52.840]  因信將諸般的喜樂、平安充滿你們的心
[00:01:52.840 --> 00:01:59.120]  使你們藉著聖靈的能力大有盼望
[00:01:59.120 --> 00:02:00.720]  讓我們有片刻安靜
[00:02:00.720 --> 00:02:02.720]  接著我們禱告
[00:02:22.840 --> 00:02:37.720]  我們一同禱告
[00:02:37.720 --> 00:02:39.720]  親愛的阿爸天父
