
[00:00:00.000 --> 00:00:03.720]  好,謝謝敬拜隊帶來我們有敬拜的時間
[00:00:03.720 --> 00:00:07.240]  剛剛最後的詩歌叫《找到我》
[00:00:07.240 --> 00:00:08.920]  第一句歌詞說到
[00:00:08.920 --> 00:00:12.720]  我們很多時候用尺去測量、量度我們的生命
[00:00:12.720 --> 00:00:16.120]  不知道你會否也在用很多價值
[00:00:16.120 --> 00:00:17.040]  可能是外面的價值
[00:00:17.040 --> 00:00:18.240]  可能是你們考試
[00:00:18.240 --> 00:00:21.560]  可能是你們在想成績好像在定義我的人生
[00:00:21.560 --> 00:00:23.280]  但是我們每個星期
[00:00:23.280 --> 00:00:24.920]  星期日回來的時候
[00:00:24.920 --> 00:00:27.160]  崇拜或者有敬拜的時間
[00:00:27.160 --> 00:00:30.880]  就是上帝很想透過每一個星期告訴我們
[00:00:30.880 --> 00:00:35.520]  我們的尺不是由世界、不是由社會或者我們自己去定義
[00:00:35.520 --> 00:00:37.240]  而是由上帝去定義
[00:00:37.240 --> 00:00:40.000]  他一直都說他無條件去愛我們
[00:00:40.000 --> 00:00:41.000]  對我們不離不棄
[00:00:41.000 --> 00:00:42.680]  就是說我們有軟弱
[00:00:42.680 --> 00:00:43.760]  我們有挫敗
[00:00:43.760 --> 00:00:47.080]  怕忘了今天我們繼續去看聖經
[00:00:47.080 --> 00:00:49.160]  上帝的話讓我們去體會
[00:00:49.160 --> 00:00:53.200]  究竟我們的生命是如何被上帝所愛、所掌管
[00:00:53.200 --> 00:00:57.400]  話說已經不知不覺來到2024年了
[00:00:57.400 --> 00:01:01.680]  記得上次我跟大家分享甚麼人物嗎?
[00:01:01.680 --> 00:01:02.960]  大家還記得嗎?
[00:01:02.960 --> 00:01:04.080]  約瑟啦
[00:01:04.080 --> 00:01:07.600]  新一年又開始一個新的人物了
[00:01:07.600 --> 00:01:12.760]  這次我會跟大家分享出《埃及記》二章十一至二十五節
[00:01:12.760 --> 00:01:15.160]  不知道大家說出《埃及記》的時候
[00:01:15.160 --> 00:01:16.600]  你會想起哪個人物呢?
[00:01:16.600 --> 00:01:18.160]  很容易聽到
[00:01:18.160 --> 00:01:19.320]  就是摩西了
[00:01:19.320 --> 00:01:20.960]  所以今天開始
[00:01:20.960 --> 00:01:23.840]  接下來幾次都會透過摩西的生命
[00:01:23.840 --> 00:01:25.000]  因為還記得嗎?
[00:01:25.000 --> 00:01:26.280]  我們今年到
[00:01:26.280 --> 00:01:28.520]  我們青少部有個主題
[00:01:28.520 --> 00:01:31.920]  叫做「Transform Our Lives, Glowing for Christ」
[00:01:31.920 --> 00:01:34.040]  我們很想盼望透過聖經人物
[00:01:34.040 --> 00:01:36.200]  上帝透過一些人物
[00:01:36.200 --> 00:01:37.200]  正如祂也是一個人
[00:01:37.200 --> 00:01:38.000]  我們也是一個人
[00:01:38.000 --> 00:01:39.560]  歷史歷代也透過人
[00:01:39.560 --> 00:01:41.240]  祂的生命讓我們有提醒
[00:01:41.240 --> 00:01:43.000]  因為祂們也是跟我們一樣
[00:01:43.000 --> 00:01:44.320]  信同那位的上帝
[00:01:44.320 --> 00:01:47.160]  盼望我們藉著摩西的生命
[00:01:47.160 --> 00:01:50.880]  我們去看看上帝有甚麼說話給我們提醒
[00:01:50.880 --> 00:01:54.200]  我們先一起去到中讀以下的經文
[00:01:54.200 --> 00:01:56.200]  十一至二十五節
[00:01:56.200 --> 00:01:57.800]  我們預備開始
[00:01:57.800 --> 00:02:00.280]  過了一段日子
[00:02:00.280 --> 00:02:02.000]  摩西長大了
[00:02:02.000 --> 00:02:04.960]  他出去到他同胞那裡
[00:02:04.960 --> 00:02:07.120]  看見他們的奴役
[00:02:07.120 --> 00:02:10.960]  他看見一個埃及人打他的同胞
[00:02:10.960 --> 00:02:12.840]  一個希伯來人
[00:02:12.840 --> 00:02:14.800]  他左右觀看
[00:02:14.800 --> 00:02:16.080]  見沒有人
[00:02:16.080 --> 00:02:18.760]  就把埃及人打死了
[00:02:18.760 --> 00:02:20.640]  藏在沙土裡
[00:02:20.640 --> 00:02:22.600]  第二天他出去
[00:02:22.600 --> 00:02:26.520]  看見有兩個希伯來人在打架
[00:02:26.520 --> 00:02:29.280]  他就對那兇惡的人說
[00:02:29.280 --> 00:02:32.560]  「你為什麼打你同族的人呢?」
[00:02:32.560 --> 00:02:33.680]  那人說
[00:02:33.680 --> 00:02:37.760]  「誰立你作我們的領袖和審判官呢?」
[00:02:37.760 --> 00:02:39.680]  「難道你要殺我」
[00:02:39.680 --> 00:02:42.360]  「像殺那埃及人一樣嗎?」
[00:02:42.360 --> 00:02:44.760]  (觀眾)
[00:02:44.760 --> 00:02:47.840]  這事一定是讓人知道了
[00:02:47.840 --> 00:02:49.760]  法老聽見這事
[00:02:49.760 --> 00:02:52.080]  就設法要殺摩西
[00:02:52.080 --> 00:02:54.160]  於是摩西逃走
[00:02:54.160 --> 00:02:55.680]  逃避路
[00:02:55.680 --> 00:02:57.280]  到了米甸地
[00:02:57.280 --> 00:02:59.080]  坐在井旁
[00:02:59.080 --> 00:03:02.040]  米甸的祭司有七個女兒
[00:03:02.040 --> 00:03:03.720]  她們來打水
[00:03:03.720 --> 00:03:05.120]  打滿了槽
[00:03:05.120 --> 00:03:07.960]  要給父親的羊群喝水
[00:03:07.960 --> 00:03:10.080]  有一些牧羊人來
[00:03:10.080 --> 00:03:11.840]  把她們趕走
[00:03:11.840 --> 00:03:14.840]  摩西卻起來幫助她們
[00:03:14.840 --> 00:03:17.680]  取水給她們的羊群喝
[00:03:17.680 --> 00:03:20.680]  她們回到父親留意那裡
[00:03:20.680 --> 00:03:21.560]  她說
[00:03:21.560 --> 00:03:25.560]  「今天你們為何這麼快就回來了呢?」
[00:03:25.560 --> 00:03:26.560]  她們說
[00:03:26.560 --> 00:03:31.160]  「有一個埃及人來救我們脫離牧羊人的手」
[00:03:31.160 --> 00:03:34.800]  「他甚至打水給我們的羊群喝」
[00:03:34.800 --> 00:03:36.640]  她對女兒們說
[00:03:36.640 --> 00:03:38.280]  「那人在哪裡」
[00:03:38.280 --> 00:03:40.920]  「你們為什麼撇下他呢?」
[00:03:40.920 --> 00:03:43.400]  「去請他來吃飯吧」
[00:03:43.400 --> 00:03:46.120]  摩西願意和那人同住
[00:03:46.120 --> 00:03:50.560]  那人就把女兒西波拉給摩西為妻
[00:03:50.560 --> 00:03:53.360]  西波拉生了一個兒子
[00:03:53.360 --> 00:03:56.280]  摩西給他起名叫格遜
[00:03:56.280 --> 00:03:57.440]  因他說
[00:03:57.440 --> 00:04:00.520]  「我在外地作了寄居者」
[00:04:00.520 --> 00:04:02.040]  過了許多年
[00:04:02.040 --> 00:04:03.720]  埃及王死了
[00:04:03.720 --> 00:04:05.960]  以色列人因做苦工
[00:04:05.960 --> 00:04:07.920]  就嘆息哀求
[00:04:07.920 --> 00:04:11.960]  他們因苦工所發出的哀聲達於神
[00:04:11.960 --> 00:04:14.240]  神聽見他們的哀聲
[00:04:14.240 --> 00:04:19.480]  就紀念他於阿伯拉罕以撒瓦國所立的約
[00:04:19.480 --> 00:04:21.480]  神看顧以色列人
[00:04:21.480 --> 00:04:23.160]  神是知道的
[00:04:23.160 --> 00:04:25.160]  我們先有一起禱告的時間
[00:04:25.160 --> 00:04:30.200]  陳念符,謝謝你
[00:04:30.200 --> 00:04:32.360]  的確我們平日在這個世界
[00:04:32.360 --> 00:04:33.760]  可能在網絡裏
[00:04:33.760 --> 00:04:35.360]  在我們的社會裏
[00:04:35.360 --> 00:04:36.480]  在學校裏
[00:04:36.480 --> 00:04:39.880]  朋友當中我們有聽到很多不同的價值觀
[00:04:39.880 --> 00:04:41.080]  或者很多的聲音
[00:04:41.080 --> 00:04:42.920]  跟我們說我們要怎樣去生活
[00:04:42.920 --> 00:04:44.280]  怎樣去生存
[00:04:44.280 --> 00:04:46.760]  但你也留下你的說話
[00:04:46.760 --> 00:04:47.600]  你的真理
[00:04:47.600 --> 00:04:48.880]  讓我們去體會
[00:04:48.880 --> 00:04:50.880]  我們怎樣走在你的正路
[00:04:50.880 --> 00:04:53.840]  因為我們知道你才是創造我們
[00:04:53.840 --> 00:04:54.920]  最明白我們
[00:04:54.920 --> 00:04:57.280]  指引我們真正道路的各位上帝
