code,preacher,bkno,book,chapter,verse,title,date
EZL-OCl_lJE,,1,創世記,0,,2024 聖言系列 - 夏季培靈奮興會：「創世記」I 主題：讀創世記–如何是「好」？,2024-06-15
R54GUORH3eY,,1,創世記,0,,2024 聖言系列 - 夏季培靈奮興會：「創世記」II 主題：讀創世記–如何是「好」？,2024-06-23
iBfE9eVripQ,,58,希伯來書,0,,2024 聖言系列 - 夏季聖經課程：「希伯來書」I 主題：盡忠的耶穌 榮耀的基督,2024-05-26
7R3qM5b7DMI,,58,希伯來書,0,,2024 聖言系列 - 夏季聖經課程：「希伯來書」II 主題：盡忠的耶穌 榮耀的基督,2024-06-01
wAbpGBqNgNM,,67,,0,,2024 聖言系列 - 夏季聖經課程：「彼得前後書」I 主題：建基磐石上,2024-06-15
evqz1q_hC-A,,67,,0,,2024 聖言系列 - 夏季聖經課程：「彼得前後書」II 主題：建基磐石上,2024-06-23
BQvEiworls4,,67,,0,,2024 聖言系列 - 夏季讀經講座：「福音書」I 主題：耶穌基督的福音,2024-05-26
FsXNMWFwxHg,,67,,0,,2024 聖言系列 - 夏季讀經講座：「福音書」II 主題：耶穌基督的福音,2024-06-01
5AhQhWw7knY,何傑牧師,12,以賽亞書,0,,[ 已配上中文CC字幕 ] 以色列聖者的救贖情懷「以賽亞書」I 講員：何傑牧師。 2月14日下架,2024-02-06
KwXlOVraPWE,陳偉迦牧師,42,路加福音,0,,[ 已配上中文CC字幕 ] 撥開紛亂世代中的迷霧「路加福音」I  講員：陳偉迦牧師。 2月9日下架,2024-02-03
y7RfxilxFdE,陳偉迦牧師,42,路加福音,0,,[ 已配上中文CC字幕 ] 撥開紛亂世代中的迷霧「路加福音」II  講員：陳偉迦牧師。 2月16日下架,2024-02-06
HhgTqAX1BFU,馬榮德先生,50,腓立比書,0,,《聖經‧新漢語譯本》—經卷研讀課程《腓立比書》1A 馬榮德先生,2022-06-22
io2zo_oCeFk,馬榮德先生,50,腓立比書,0,,《聖經‧新漢語譯本》—經卷研讀課程《腓立比書》1B 馬榮德先生,2022-06-22
XEYwTf6e19I,馬榮德先生,50,腓立比書,0,,《聖經‧新漢語譯本》—經卷研讀課程《腓立比書》2A 馬榮德先生,2022-06-22
fzMfZHATZ0U,馬榮德先生,50,腓立比書,0,,《聖經‧新漢語譯本》—經卷研讀課程《腓立比書》2B 馬榮德先生,2022-06-22
FbD104WC-Bk,馬榮德先生,50,腓立比書,0,,《聖經‧新漢語譯本》—經卷研讀課程《腓立比書》3 馬榮德先生,2022-06-22
ok3V257cOIA,,67,,0,,《聖經．新漢語譯本》講座系列2011 － 但起初並非如此,2022-06-21
9gWlq-OvVJU,,67,,0,,《聖經．新漢語譯本》講座系列2012－末日之後,2023-11-08
L7Klx5S64nM,,46,哥林多前書,0,,《聖經．新漢語譯本》講座系列2013 － 從哥林多前書探討教會成長的要訣 李寶珠院長,2019-11-10
WEwyO2xJwfc,,13,耶利米書,0,,《聖經．新漢語譯本》講座系列2013－耶利米書的時代信息（1）,2016-06-26
7tQS0En6sh8,,13,耶利米書,0,,《聖經．新漢語譯本》講座系列2013－耶利米書的時代信息（2）,2020-05-03
VhiGoXEG1RY,黃浩儀博士,45,羅馬書,0,,夏季讀經講座：再思救贖的奧秘 《羅馬書》研讀 黃浩儀博士,2022-06-19
A_3yEYQkm9Y,,27,詩篇,0,,春季聖經課程：「詩篇一、二」 主題：崇拜的典範,2024-01-07
SrQmAQLb4ew,,59,雅各書,0,,漢語聖經協會 2024 聖言系列 - 春季培靈奮興會：「雅各書」 主題：我信我行,2024-02-25
h6V3lBcFI1I,,12,以賽亞書,0,,漢語聖經協會 2024 聖言系列 - 春季讀經講座：「以賽亞書」II 主題：以色列聖者的救贖情懷,2024-02-05
lB_bfqbs0xw,李耀華先生,67,,0,,漢語聖經協會總幹事就職禮 李耀華先生,2023-12-22
uvYtXSSsYt0,,66,啟示錄,0,,秋季培靈奮興會 II ：「啟示錄」主題：天上的敬拜,2024-09-29
EjR8UEB4pjs,,45,羅馬書,0,,秋季培靈奮興會：「羅馬書、啓示錄」I 主題：敬拜三一永生神／天上的敬拜,2024-09-21
ltLox1aivp8,,8,撒母耳記上,0,,秋季聖經課程：「撒母耳記上」II 主題：合神心意的大衞,2024-09-15
A6e-76MEqBA,,8,撒母耳記上,0,,秋季聖經課程：「撒母耳記上」| 主題：合神心意的大衞,2024-09-07
x3lU8yQeNU8,,67,,0,,秋季聖經課程：「約翰一 二 三書」I 主題：從無知到無懼－約翰書信的啓示,2024-09-21
sEvrhOW5UYA,,67,,0,,秋季聖經課程：「約翰一 二 三書」II 主題：從無知到無懼－約翰書信的啓示,2024-09-29
I0XYkK_j-N0,,48,加拉太書,0,,秋季讀經講座：「加拉太書」II 主題：從加拉太書看保羅的政治智慧和教會與以色列的關係,2024-09-14
JHWtWav3_Y8,,48,加拉太書,0,,秋季讀經講座：「加拉太書」| 主題：從加拉太書看保羅的政治智慧和教會與以色列的關係,2024-09-07
