 &divide;, '$\div$'
 X , '$\times$'
!, '!'
#, '\#'
%, '\%'
&#39;, '\''
&Omicron;, '零'
&alpha;, 'α'
&amp;", ''
&beta;, 'β'
&delta;, 'δ'
&eacute;, '\'e'
&epsilon;, 'ε'
&gamma;, 'γ'
&hellip;, '...'
&iota;, 'ι'
&ldquo;, '``'
&lsquo;, '`'
&mdash;, '─'
&middot;, '$\,\cdot\,$'
&nbsp;, ''
&ndash;, '─'
&nu;, 'ν'
&quot;, ''''
&rdquo;, '"'
&rsquo;, ''''
&sigma;, 'σ'
&sigmaf;, 'ς'
( ̄▽ ̄), ''
(中文), ''
(主席), ''
(主持), ''
(主持人), ''
(國語), ''
(廣東話), ''
(牧師), ''
(聽不懂), ''
(英文), ''
-&gt, '$\rightarrow$'
BLANK_AUDIO, 'BLANK AUDIO'
\cs16, ''
\tab, ' '
\u200b, ''
\u3000, '~'
\ue00e, '洶'
\ue010, '憂'
\ue031, '步'
\ue045, '實'
\ue052, '的'
\ue05e, '瑟'
\ue05e, '繫'
\ue05e, '配'
\ue096, '芒'
\ue097, '呔'
\ue0e1, '載'
\ue0f5, '付'
\ue14c, '冤'
\ue17a, '使'
\ue1f5, ''
\ue226, '祐'
\ue233, '身'
\ue2de, '鬮'
\ue2df, '鬥'
\ue313, '涉'
\ue314, '麃'
\ue315, '犁'
\ue339, '草'
שְׁאוֹל&lrm;, '\sblgoodhebrew{שְׁאוֹל}'
ἵ, 'ι'
‐, '-'
∶, ':'
⋯, '...'
①, '(1)'
②, '(2)'
③, '(3)'
④, '(4)'
⑤, '(5)'
⑥, '(6)'
⑦, '(7)'
╱, '/'
⧸, '/'
⻆, '角'
⾃, '自'
、, ','
。, '.'
〇, '零'
〜, '-'
・, '.'
㖭, '添'
㗎, '架'
㩒, '禁'
㬹, 'zoung '
㷛, '煲'
㷫, 'hing '
㾗, '痕'
䌓, '繁'
䌫, '纜'
䘵, '祿'
䡓, '衡'
䧟, '陷'
一, '一'
与, '與'
专, '專'
両, '兩'
两, '兩'
丨, '. '
个, '個'
丶, '. '
为, '為'
丿, '. '
义, '義'
