
[00:00:00.000 --> 00:00:10.000]  來一起參加,探討思想和信仰的問題。
[00:00:10.000 --> 00:00:16.000]  有人說我沒有信仰,其實人怎麼能夠真的沒有信仰呢?
[00:00:16.000 --> 00:00:22.000]  說話這個人難道他不相信自己仍然生動在這裡嗎?
[00:00:22.000 --> 00:00:26.000]  其實連蒙頭蒼蠅都有信仰,為什麼這樣?
[00:00:26.000 --> 00:00:30.000]  起碼他照舊飛回原來的地方,戰勝那些東西,
[00:00:30.000 --> 00:00:34.000]  就不怕你一拍下去,拍到臉都脹,是吧?
[00:00:34.000 --> 00:00:38.000]  連蒼蠅都有信仰,人很難沒有信仰,
[00:00:38.000 --> 00:00:44.000]  最多是信到亂了,就不算是一種有系統,不稱得上宗教。
[00:00:44.000 --> 00:00:47.000]  很多人說我沒有信仰,他的意思只是說,
[00:00:47.000 --> 00:00:54.000]  都沒有認定一種已經知道的宗教信仰是完全適合他的胃口,
[00:00:54.000 --> 00:00:59.000]  或者說他覺得各大宗教都各有些道理,
[00:00:59.000 --> 00:01:02.000]  只不過自己難以取捨。
[00:01:02.000 --> 00:01:07.000]  有人說我不信任何神明,我相信自己而已,
[00:01:07.000 --> 00:01:11.000]  這個人真的吃了幾噸洋蔥,
[00:01:11.000 --> 00:01:16.000]  他是以自己為神,起碼是教主,
[00:01:16.000 --> 00:01:19.000]  他相信自己可以知道明日的事情,
[00:01:19.000 --> 00:01:27.000]  相信自己是全知全能,一貫正確,相信自己是百毒不侵,千秋萬歲。
[00:01:27.000 --> 00:01:32.000]  有人說我是無神論者,我記得兩三年前就是了,
[00:01:32.000 --> 00:01:36.000]  中文大學有一次請我回去,我母校在崇基那裡,
[00:01:36.000 --> 00:01:40.000]  講完台下自由發問,有一個女士,
[00:01:40.000 --> 00:01:44.000]  也不要說女士,是小姐,二十多歲左右,
[00:01:44.000 --> 00:01:47.000]  後來才知道原來她是復旦大學來的交換生,
[00:01:47.000 --> 00:01:52.000]  很有自信心想這樣,用普通話說,
[00:01:52.000 --> 00:01:55.000]  我是相信進化論,我相信無神論,
[00:01:55.000 --> 00:02:00.000]  那場合真厲害,有人說無神論,這個人也是厲害,
[00:02:00.000 --> 00:02:05.000]  怎麼可以知道是無神呢?通常說懷疑論,不可知論,
[00:02:05.000 --> 00:02:11.000]  說無神論要很大勇氣,這個人一定是授予天才,
[00:02:11.000 --> 00:02:15.000]  而且眼睛有紅外線,耳朵有超音波,
[00:02:15.000 --> 00:02:19.000]  更加有特殊功能,他就可以證明,
[00:02:19.000 --> 00:02:23.000]  證明好像共產黨國際歌第二節,我們以前也引述過,
[00:02:23.000 --> 00:02:28.000]  從來就沒有救世主,也沒有人神仙皇帝,
[00:02:28.000 --> 00:02:31.000]  憑什麼可以說無神呢?
[00:02:31.000 --> 00:02:34.000]  有神就不用證明我們信得了,說無神呢?
[00:02:34.000 --> 00:02:37.000]  那就是說我有生以來,甚至我未出世之前,
