
[00:00:00.000 --> 00:00:05.000]  《創世紀》有一個頗長的技術
[00:00:05.000 --> 00:00:10.000]  是形容阿巴拉罕在地上給神的呼召
[00:00:10.000 --> 00:00:13.000]  如果我們看《創世紀》的脈絡的時候
[00:00:13.000 --> 00:00:16.000]  我們知道《創世紀》第十二章可以說是
[00:00:16.000 --> 00:00:20.000]  人的一個轉捩點
[00:00:20.000 --> 00:00:22.000]  是第三章人墮落
[00:00:22.000 --> 00:00:25.000]  第十二章神呼召一個人
[00:00:25.000 --> 00:00:30.000]  之後有一個群體去歸向他
[00:00:30.000 --> 00:00:34.000]  有十一章的聖經去描述阿巴拉罕
[00:00:34.000 --> 00:00:37.000]  就是《創世紀》第十二章
[00:00:37.000 --> 00:00:42.000]  我們今天所看的是最後一章的經文
[00:00:42.000 --> 00:00:47.000]  是最後一個片段神去試驗阿巴拉罕
[00:00:47.000 --> 00:00:49.000]  我們今天有兩個問題入手
[00:00:49.000 --> 00:00:51.000]  第一個問題就是
[00:00:51.000 --> 00:00:56.000]  究竟作者如何去介紹以撒
[00:00:56.000 --> 00:00:59.000]  我們先看《創世紀》第二章
[00:00:59.000 --> 00:01:02.000]  重溫剛才讀過的一些經文
[00:01:02.000 --> 00:01:07.000]  第二章我們這次看第二節開始
[00:01:07.000 --> 00:01:11.000]  《創世紀》第十二章第二節
[00:01:11.000 --> 00:01:14.000]  神對阿巴拉罕說
[00:01:14.000 --> 00:01:19.000]  你帶著你的兒子就是獨生的兒子
[00:01:19.000 --> 00:01:22.000]  這一句其實是無需存在的
[00:01:22.000 --> 00:01:27.000]  因為這一章講到阿巴拉罕生以撒的時候
[00:01:27.000 --> 00:01:29.000]  已經交代得很清楚
[00:01:29.000 --> 00:01:33.000]  這個是獨生子和阿巴拉罕的兒子
[00:01:33.000 --> 00:01:37.000]  但這裡再重複一次介紹以撒的時候
[00:01:37.000 --> 00:01:41.000]  用了兒子這個稱號
[00:01:41.000 --> 00:01:45.000]  甚至是獨生的兒子
[00:01:45.000 --> 00:01:47.000]  第二節是這樣講
[00:01:47.000 --> 00:01:50.000]  第三節繼續是這樣描述
[00:01:50.000 --> 00:01:52.000]  阿巴拉罕清早起來備上路
[00:01:52.000 --> 00:01:55.000]  帶著兩個報人和他兒子以撒
[00:01:55.000 --> 00:01:57.000]  這一節真的不需要存在
[00:01:57.000 --> 00:01:59.000]  因為第二節才講完是兒子
[00:01:59.000 --> 00:02:02.000]  這裡不需要介紹以撒是兒子
[00:02:02.000 --> 00:02:05.000]  但作者都是這樣用了這個稱號
[00:02:05.000 --> 00:02:08.000]  是兒子以撒
[00:02:08.000 --> 00:02:11.000]  第六節這樣講
[00:02:11.000 --> 00:02:16.000]  阿巴拉罕將繁濟的柴放在他兒子以撒身上
[00:02:16.000 --> 00:02:18.000]  跟著二人同行
