
[00:00:00.000 --> 00:00:09.200]  羅馬書第八章第三章九至二十節
[00:00:09.200 --> 00:00:11.600]  題目很有趣
[00:00:11.600 --> 00:00:15.280]  世上是否真的沒有二人
[00:00:15.280 --> 00:00:19.040]  為何保羅這麼沉氣
[00:00:19.040 --> 00:00:23.120]  第一第二章已經說了全部都是罪人
[00:00:23.120 --> 00:00:27.920]  上次第三章頭也說了人是虛方的
[00:00:27.920 --> 00:00:29.840]  神才是真實的
[00:00:29.840 --> 00:00:35.440]  現在第三章中部分又說沒有二人
[00:00:35.440 --> 00:00:38.640]  其實保羅在這部分告訴我們
[00:00:38.640 --> 00:00:40.640]  為何沒有二人
[00:00:40.640 --> 00:00:45.440]  世上不義墮落的人的特徵
[00:00:45.440 --> 00:00:48.320]  他們的行為、動機
[00:00:48.320 --> 00:00:51.680]  甚至他們最後的審判會怎樣
[00:00:51.680 --> 00:00:53.600]  正如我剛才說
[00:00:53.600 --> 00:00:58.000]  保羅已經在羅馬書一章十八至三十二節
[00:00:58.000 --> 00:01:01.840]  所有的外邦人都是無可推諉
[00:01:01.840 --> 00:01:03.680]  他們沒有神的律法
[00:01:03.680 --> 00:01:05.920]  但他們有神的創造
[00:01:05.920 --> 00:01:07.680]  告訴他們有一位神
[00:01:07.680 --> 00:01:10.800]  他們有神的良知在他們的心裏
[00:01:10.800 --> 00:01:13.040]  他們應該是知罪
[00:01:13.040 --> 00:01:16.720]  羅馬書二章一至十六節
[00:01:16.720 --> 00:01:19.920]  也說出所有有宗教信仰的人
[00:01:19.920 --> 00:01:22.960]  這些有道德標準的人
[00:01:22.960 --> 00:01:24.640]  他們都是無可推諉
[00:01:24.640 --> 00:01:26.320]  和外邦人一樣
[00:01:26.320 --> 00:01:30.240]  羅馬書第二章尾至三章八節
[00:01:30.240 --> 00:01:32.080]  保羅直接指明喚醒
[00:01:32.080 --> 00:01:34.160]  猶太人都是一樣
[00:01:34.160 --> 00:01:36.880]  就算他們有神的律法
[00:01:36.880 --> 00:01:38.480]  就是指出他們的罪
[00:01:38.480 --> 00:01:40.080]  所有人都是罪人
[00:01:40.080 --> 00:01:43.280]  接著在羅馬書三章十九節
[00:01:43.280 --> 00:01:46.000]  保羅說:很塞住國人的口
[00:01:46.000 --> 00:01:50.160]  叫普世的人都服在神的審判之下
[00:01:50.160 --> 00:01:52.240]  沒有人有藉口
