
[00:00:00.000 --> 00:00:04.480]  好 新年快樂 再一次今天是年初五
[00:00:04.480 --> 00:00:07.320]  剛才很多謝敬拜隊帶我們敬拜
[00:00:07.320 --> 00:00:08.720]  在敬拜裡面
[00:00:08.720 --> 00:00:11.800]  我自己笑了 不好意思
[00:00:11.800 --> 00:00:12.600]  在敬拜裡面
[00:00:12.600 --> 00:00:14.640]  剛才你們有沒有唱過一首歌
[00:00:14.640 --> 00:00:15.880]  唱過一首歌
[00:00:15.880 --> 00:00:19.480]  他說 我要在這裡敬拜年
[00:00:19.480 --> 00:00:22.320]  你們沒有唱嗎
[00:00:22.320 --> 00:00:26.440]  有 我說 我又在這裡敬拜年
[00:00:26.440 --> 00:00:27.480]  所以大英姐妹
[00:00:27.480 --> 00:00:30.400]  幸好你們在網上
[00:00:30.400 --> 00:00:33.920]  你們說 我們在這裡敬拜年
[00:00:33.920 --> 00:00:34.680]  新年的時候
[00:00:34.680 --> 00:00:35.680]  我們能夠聚在一起
[00:00:35.680 --> 00:00:37.160]  一起去敬拜上帝
[00:00:37.160 --> 00:00:38.760]  或者一起在崇拜裡面
[00:00:38.760 --> 00:00:40.440]  我也很想你祝福一下
[00:00:40.440 --> 00:00:43.600]  在Trap Moment 不知道下面的那些東西
[00:00:43.600 --> 00:00:44.880]  你打一下
[00:00:44.880 --> 00:00:47.160]  你想祝福大英姐妹的一句說話
[00:00:47.160 --> 00:00:48.640]  可能是新年快樂
[00:00:48.640 --> 00:00:50.160]  可能是身體健康
[00:00:50.160 --> 00:00:51.800]  可能是疫情快點過去
[00:00:51.800 --> 00:00:53.560]  我想快點去旅行
[00:00:53.560 --> 00:00:54.600]  如果你有這個祝福
[00:00:54.600 --> 00:00:55.480]  你祝福我吧
[00:00:55.480 --> 00:00:58.560]  因為我也很想去旅行
[00:00:58.560 --> 00:01:02.720]  讓我們在新年的時候
[00:01:02.720 --> 00:01:03.640]  一起在崇拜的時候
[00:01:03.640 --> 00:01:04.720]  可以彼此的祝福
[00:01:04.720 --> 00:01:08.560]  也很想大家在裡面打一下
[00:01:08.560 --> 00:01:10.000]  今天在講道的時候
[00:01:10.000 --> 00:01:13.800]  講到我今天選了一個講題
[00:01:13.800 --> 00:01:16.680]  就是農曆年
[00:01:16.680 --> 00:01:19.040]  我們有一些動物代表
[00:01:19.040 --> 00:01:20.040]  叫虎年
[00:01:20.040 --> 00:01:23.800]  就出了很多小字
[00:01:23.800 --> 00:01:26.960]  痛辛苦的虎和老虎的虎放在一起
[00:01:26.960 --> 00:01:30.160]  所以中國人有一句叫虎父無犬子
[00:01:30.160 --> 00:01:33.120]  我就不知在玩什麼
[00:01:33.120 --> 00:01:35.240]  但是虎父立外子
[00:01:35.240 --> 00:01:37.520]  就是我今天的講題
[00:01:37.520 --> 00:01:40.000]  原來今年我們的年題
[00:01:40.000 --> 00:01:40.840]  大家應該知道
[00:01:40.840 --> 00:01:41.920]  展現上帝的角度
[00:01:41.920 --> 00:01:43.400]  為要贏得同代人
[00:01:43.400 --> 00:01:46.120]  原來這個月是2月
[00:01:46.120 --> 00:01:47.240]  2月的時候
[00:01:47.240 --> 00:01:48.800]  我們有一個新的月題
[00:01:48.800 --> 00:01:50.520]  我們說我們很想
[00:01:50.520 --> 00:01:52.160]  為贏得同代人的時候
[00:01:52.160 --> 00:01:54.280]  福音讓關係得以復複
[00:01:54.280 --> 00:01:55.880]  在新年的時候
[00:01:55.880 --> 00:01:56.840]  新年的月份
[00:01:56.840 --> 00:01:58.080]  農曆新年的月份
[00:01:58.080 --> 00:01:59.360]  我們去講關係
[00:01:59.360 --> 00:02:00.640]  不知道你覺不覺得
[00:02:00.640 --> 00:02:03.640]  新曆新年和農曆新年的分別是什麼
[00:02:03.640 --> 00:02:05.200]  我大概就覺得
[00:02:05.200 --> 00:02:06.840]  我自己個人去理解
[00:02:06.840 --> 00:02:08.760]  或者去明白這件事
[00:02:08.760 --> 00:02:09.880]  我就覺得新年
[00:02:09.880 --> 00:02:10.760]  農曆新年
[00:02:10.760 --> 00:02:12.040]  不是新曆新年
[00:02:12.040 --> 00:02:14.400]  就是12月到1月那個
[00:02:14.400 --> 00:02:16.320]  通常都是說
[00:02:16.320 --> 00:02:17.680]  新一年
[00:02:17.680 --> 00:02:18.760]  新氣象
[00:02:18.760 --> 00:02:19.720]  通常都是自己的
[00:02:19.720 --> 00:02:22.160]  我們新立志做什麼
[00:02:22.160 --> 00:02:25.040]  但是農曆新年的不同是什麼
[00:02:25.040 --> 00:02:26.840]  是多說一些關係
[00:02:26.840 --> 00:02:28.160]  我們吃團年飯
[00:02:28.160 --> 00:02:29.600]  吃開年飯
[00:02:29.600 --> 00:02:30.400]  去拜年
[00:02:30.400 --> 00:02:32.880]  很想一家人坐在一起過年
[00:02:32.880 --> 00:02:33.840]  這些都是關係
[00:02:33.840 --> 00:02:35.920]  所以在農曆新年這個月份的時候
[00:02:35.920 --> 00:02:37.040]  我們用關係
[00:02:37.040 --> 00:02:39.640]  原來福音讓關係能夠復活
[00:02:39.640 --> 00:02:41.160]  是我們這個月的月題
[00:02:41.160 --> 00:02:44.960]  而我被安排在2月的第一個去講
[00:02:44.960 --> 00:02:46.760]  我今天要講的關係
[00:02:46.760 --> 00:02:48.880]  是和神的關係的復活
[00:02:48.880 --> 00:02:51.280]  我想問問大家
[00:02:51.280 --> 00:02:52.360]  我想問一個問題
[00:02:52.360 --> 00:02:54.640]  我猜你經常被人問
[00:02:54.640 --> 00:02:59.080]  你和神的關係是怎樣的呢
[00:02:59.080 --> 00:03:01.320]  你和神的關係是怎樣的呢
[00:03:01.320 --> 00:03:02.720]  我想問的是
[00:03:02.720 --> 00:03:04.720]  通常你要回答這個問題的時候
[00:03:04.720 --> 00:03:07.800]  會用什麼途徑去衡量這件事
[00:03:07.800 --> 00:03:09.240]  可能你會想
[00:03:09.240 --> 00:03:10.960]  最近我有沒有翻崇拜
[00:03:10.960 --> 00:03:11.920]  我和神的關係好不好
[00:03:11.920 --> 00:03:13.000]  我有沒有翻崇拜
[00:03:13.000 --> 00:03:14.480]  有沒有翻小祖
[00:03:14.480 --> 00:03:15.960]  有沒有祈禱
[00:03:15.960 --> 00:03:17.320]  有沒有靈修
[00:03:17.320 --> 00:03:18.520]  有沒有讀經
[00:03:18.520 --> 00:03:20.720]  有沒有做侍奉
[00:03:20.720 --> 00:03:21.880]  的確
[00:03:21.880 --> 00:03:25.200]  神的關係是看不見的
[00:03:25.200 --> 00:03:26.800]  比起純粹去感覺和神的關係
[00:03:26.800 --> 00:03:27.120]  好不好
[00:03:27.120 --> 00:03:28.680]  要回答這個問題的時候
[00:03:28.680 --> 00:03:30.320]  通常用這些熟靈的活動
[00:03:30.320 --> 00:03:32.200]  去量化神的關係
[00:03:32.200 --> 00:03:35.320]  起碼可以回答問你這個問題的人
[00:03:35.320 --> 00:03:36.240]  通常問這些問題
[00:03:36.240 --> 00:03:38.440]  通常不是道師就是宗道師
[00:03:38.440 --> 00:03:40.120]  經常都問這些問題
[00:03:40.120 --> 00:03:42.200]  你和神的關係怎樣
[00:03:42.200 --> 00:03:43.320]  你可能會回答
[00:03:43.320 --> 00:03:44.080]  我很好
[00:03:44.080 --> 00:03:45.240]  我每天都讀經
[00:03:45.240 --> 00:03:46.800]  被媽媽逼
[00:03:46.800 --> 00:03:48.040]  但是你心裡面
[00:03:48.040 --> 00:03:49.040]  其實確實
[00:03:49.040 --> 00:03:52.040]  你又不能夠很相信神的存在
[00:03:52.040 --> 00:03:54.200]  你和神的關係怎樣
[00:03:54.200 --> 00:03:55.840]  誰誰
[00:03:55.840 --> 00:03:57.840]  你和神的關係怎樣
[00:03:57.840 --> 00:03:59.840]  我看你最近很多侍奉
[00:03:59.840 --> 00:04:01.880]  是不是和神的關係很好
[00:04:01.880 --> 00:04:04.360]  可能我聽到的答案
[00:04:04.360 --> 00:04:05.640]  可能是
[00:04:05.640 --> 00:04:08.520]  我感覺和神其實很遠
[00:04:08.520 --> 00:04:09.680]  我雖然很多侍奉
[00:04:09.680 --> 00:04:12.320]  但是我連祈禱也不想祈禱
[00:04:12.320 --> 00:04:13.440]  又或者
[00:04:13.440 --> 00:04:15.240]  你和神的關係怎樣
