
[00:00:00.000 --> 00:00:04.000]  好,弟兄姊妹,早晨
[00:00:04.000 --> 00:00:06.000]  係呀,大家好呀
[00:00:06.000 --> 00:00:08.000]  咁我都介紹下自己先
[00:00:08.000 --> 00:00:10.000]  應該係青少報少見啲
[00:00:10.000 --> 00:00:12.000]  咁但係好感恩喎,因為呢
[00:00:12.000 --> 00:00:14.000]  我兩個月可以返嚟講一次度
[00:00:14.000 --> 00:00:16.000]  不過呢,其實我心情呢
[00:00:16.000 --> 00:00:18.000]  係好期待嘅
[00:00:18.000 --> 00:00:20.000]  我唔知你心情點呀,因為呢,係昨日打風
[00:00:20.000 --> 00:00:22.000]  咁呢,8號風球喎
[00:00:22.000 --> 00:00:24.000]  咁就成日都8號風球啦
[00:00:24.000 --> 00:00:26.000]  即係大家都知
[00:00:26.000 --> 00:00:28.000]  咁就死啦,我話,哎呀,星期日啦
[00:00:28.000 --> 00:00:30.000]  即係返嚟青少報
[00:00:30.000 --> 00:00:32.000]  兩個月能夠返嚟青少報
[00:00:32.000 --> 00:00:34.000]  係咪都唔得呢?
[00:00:34.000 --> 00:00:36.000]  可能又會直播呀
[00:00:36.000 --> 00:00:38.000]  其實我心情,我唔知你心情點
[00:00:38.000 --> 00:00:40.000]  你心情係咪可能想係,哎呀,不如打風啦
[00:00:40.000 --> 00:00:42.000]  咁但係我心情都好期待
[00:00:42.000 --> 00:00:44.000]  點解呢?因為呢
[00:00:44.000 --> 00:00:46.000]  12樓又好,青少報又好
[00:00:46.000 --> 00:00:48.000]  我覺得好似係返返嚟自己屋企
[00:00:48.000 --> 00:00:50.000]  返到嚟呢
[00:00:50.000 --> 00:00:52.000]  一個好熟識嘅地方
[00:00:52.000 --> 00:00:54.000]  好親切
[00:00:54.000 --> 00:00:56.000]  弟兄姊妹呢
[00:00:56.000 --> 00:00:58.000]  大家好似,雖然可能你
[00:00:58.000 --> 00:01:00.000]  少認識我,但係呢
[00:01:00.000 --> 00:01:02.000]  我心都係好期待呢
[00:01:02.000 --> 00:01:04.000]  返嚟呢見到大家,因為掛住嘅係呀
[00:01:04.000 --> 00:01:06.000]  咁所以我昨日祈禱
[00:01:06.000 --> 00:01:08.000]  神下唔好呀,希望呢今朝呢
[00:01:08.000 --> 00:01:10.000]  3號風球呀,咁我昨晚
[00:01:10.000 --> 00:01:12.000]  仲諗住WhatsApp啲童工啦,喂如果真係
[00:01:12.000 --> 00:01:14.000]  仲係8號呢,咁點呢?
[00:01:14.000 --> 00:01:16.000]  咁樣,即係我都知會返嚟直播
[00:01:16.000 --> 00:01:18.000]  嘅,但係祈禱啦,祈禱啦
[00:01:18.000 --> 00:01:20.000]  咁,哎,今朝我突然間
[00:01:20.000 --> 00:01:22.000]  紮醒好似係Johnny咁,6點鐘
[00:01:22.000 --> 00:01:24.000]  即係,哎呀,死啦,即刻睇下電話先
[00:01:24.000 --> 00:01:26.000]  原來係3號風球,即係可以返嚟啦
[00:01:26.000 --> 00:01:28.000]  咁樣,哇,好定啦,咁樣
[00:01:28.000 --> 00:01:30.000]  係啦,咁樣囉,咁將呢個心情呢
