
[00:00:00.000 --> 00:00:02.000]  很感謝劍拜隊
[00:00:02.000 --> 00:00:04.000]  很感謝Watchman
[00:00:04.000 --> 00:00:06.000]  今天的大慶拜都很熱情
[00:00:06.000 --> 00:00:09.000]  整個佛教團隊都很好
[00:00:09.000 --> 00:00:12.000]  看到在台上的唱詩歌的都高舉雙手
[00:00:12.000 --> 00:00:16.000]  還有詩琴他們都很熱情的彈琴
[00:00:16.000 --> 00:00:18.000]  我自己都在旁邊跳
[00:00:18.000 --> 00:00:20.000]  很想不斷的慶拜神
[00:00:20.000 --> 00:00:22.000]  全心投入慶拜神
[00:00:22.000 --> 00:00:25.000]  所以很感謝劍拜隊的大領
[00:00:25.000 --> 00:00:27.000]  好,我們開始之前
[00:00:27.000 --> 00:00:29.000]  我們有一個祈禱,好嗎?
[00:00:30.000 --> 00:00:32.000]  好,參賽者,我們很感恩
[00:00:32.000 --> 00:00:34.000]  今天可以回到舊會
[00:00:34.000 --> 00:00:36.000]  可以有慶拜的時間
[00:00:36.000 --> 00:00:38.000]  希望主來幫助我們
[00:00:38.000 --> 00:00:41.000]  在崇拜的時間
[00:00:41.000 --> 00:00:45.000]  可以學到怎樣活出自己的信仰
[00:00:45.000 --> 00:00:47.000]  可以活出基督的生命
[00:00:47.000 --> 00:00:49.000]  幫助我們
[00:00:49.000 --> 00:00:53.000]  祝福我們以下的時間
[00:00:53.000 --> 00:00:55.000]  從耶穌基督得聖的名紀靠
[00:00:55.000 --> 00:00:57.000]  在開始之前
[00:00:57.000 --> 00:00:59.000]  我想問大家一個很特別的問題
[00:00:59.000 --> 00:01:01.000]  問一下你們
[00:01:01.000 --> 00:01:03.000]  你覺得這個世界
[00:01:03.000 --> 00:01:05.000]  是不是以你為中心?
[00:01:05.000 --> 00:01:07.000]  是不是以你為中心?
[00:01:07.000 --> 00:01:11.000]  我想每個人都有四個成長的階段
[00:01:11.000 --> 00:01:13.000]  每經過一個階段
[00:01:13.000 --> 00:01:15.000]  都會變得更加的成熟
[00:01:15.000 --> 00:01:17.000]  四個階段
[00:01:17.000 --> 00:01:18.000]  第一個階段
[00:01:18.000 --> 00:01:19.000]  當我們出生之後
[00:01:19.000 --> 00:01:21.000]  我們就覺得家人的關注
