
[00:00:00.000 --> 00:00:05.000]  在開始的時候我想先問一下大英姊妹
[00:00:05.000 --> 00:00:10.000]  如果說到復活你會想起什麼?
[00:00:10.000 --> 00:00:14.000]  復活當然是說
[00:00:14.000 --> 00:00:19.000]  主耶穌祂離世之後
[00:00:19.000 --> 00:00:22.000]  第三天從死裡面復活
[00:00:22.000 --> 00:00:28.000]  我相信這也是我們非常非常熟悉的
[00:00:28.000 --> 00:00:31.000]  信仰的真理
[00:00:31.000 --> 00:00:34.000]  但如果我再進一步這樣問
[00:00:34.000 --> 00:00:40.000]  其實復活在我們生活的層面
[00:00:40.000 --> 00:00:44.000]  又代表什麼呢?
[00:00:44.000 --> 00:00:47.000]  我不知道你想到什麼
[00:00:47.000 --> 00:00:51.000]  會不會好像體育界
[00:00:51.000 --> 00:00:56.000]  牛夏女車神李慧詩你一定認識的
[00:00:56.000 --> 00:01:01.000]  其實她在2012年的時候
[00:01:01.000 --> 00:01:04.000]  就是第一次出戰奧運
[00:01:04.000 --> 00:01:07.000]  當時我不知道大家知不知道
[00:01:07.000 --> 00:01:11.000]  她在單車的海林賽
[00:01:11.000 --> 00:01:15.000]  第一圈其實她就出不了線
[00:01:15.000 --> 00:01:18.000]  結果就跌了下去
[00:01:18.000 --> 00:01:23.000]  一個能夠再度去比賽
[00:01:23.000 --> 00:01:26.000]  如果贏了可以晉級
[00:01:26.000 --> 00:01:28.000]  那個叫做復活賽
[00:01:28.000 --> 00:01:31.000]  她真的贏了
[00:01:31.000 --> 00:01:33.000]  真的復活了
[00:01:33.000 --> 00:01:36.000]  還為香港拿到歷史以來
[00:01:36.000 --> 00:01:40.000]  第三面的奧運金牌
[00:01:40.000 --> 00:01:44.000]  所以復活是真實的
[00:01:44.000 --> 00:01:47.000]  但當然我們在信仰的層面
[00:01:47.000 --> 00:01:51.000]  就不是在說運動比賽
[00:01:51.000 --> 00:01:57.000]  由於我們今天仍然有生命氣息
[00:01:57.000 --> 00:02:00.000]  可能我們覺得我們離開死亡
[00:02:00.000 --> 00:02:03.000]  都還有一段距離
