
[00:00:00.000 --> 00:00:06.000]  今天我給大家思想的經文是詩篇第46篇
[00:00:06.000 --> 00:00:11.000]  詩篇第46篇,我會為大家中讀出來的
[00:00:11.000 --> 00:00:13.000]  詩篇第46篇
[00:00:13.000 --> 00:00:19.000]  第一節:神是我們的避難所,是我們的力量
[00:00:19.000 --> 00:00:23.000]  是我們在患難中隨時的幫助
[00:00:23.000 --> 00:00:28.000]  所以,地需改變,山需搖動到海深
[00:00:28.000 --> 00:00:32.000]  其中的水需澎湃翻騰
[00:00:32.000 --> 00:00:38.000]  山需因海漲而顫抖,我們也不害怕
[00:00:38.000 --> 00:00:45.000]  第四節:有一道河,這河的分岔使神的城歡喜
[00:00:45.000 --> 00:00:49.000]  這城就是至高者居住的聖所
[00:00:49.000 --> 00:00:53.000]  神在其中,城必不動搖
[00:00:53.000 --> 00:00:57.000]  到天一亮,神必幫助這城
[00:00:57.000 --> 00:01:01.000]  萬邦軒揚,各道動搖
[00:01:01.000 --> 00:01:04.000]  神出聲,地就融化
[00:01:04.000 --> 00:01:07.000]  萬軍之耶和華與我們同在
[00:01:07.000 --> 00:01:11.000]  雅各的神是我們的避難所
[00:01:11.000 --> 00:01:16.000]  第八節:你們來看耶和華的作為
[00:01:16.000 --> 00:01:19.000]  看他使地怎樣荒涼
[00:01:19.000 --> 00:01:22.000]  他只識戰爭,直到地極
[00:01:22.000 --> 00:01:27.000]  他折弓斷槍,把戰車焚燒在火中
[00:01:27.000 --> 00:01:32.000]  你們要休息,要知道我是神
[00:01:32.000 --> 00:01:37.000]  我必在列國中受尊崇,在全地也受尊崇
[00:01:37.000 --> 00:01:40.000]  萬軍之耶和華與我們同在
[00:01:40.000 --> 00:01:44.000]  雅各的神是我們的避難所
[00:01:44.000 --> 00:01:47.000]  讓我們一起低頭我們祈禱
[00:01:47.000 --> 00:01:52.000]  昌主,我們在這時很需要你的靈
[00:01:52.000 --> 00:01:54.000]  光照我們的心
[00:01:54.000 --> 00:01:58.000]  開我們的心,開我們的眼,開我們的耳
[00:01:58.000 --> 00:02:01.000]  讓我們能夠回應你的說話
[00:02:01.000 --> 00:02:04.000]  讓我們能夠在你的說話裡
[00:02:04.000 --> 00:02:08.000]  我們得到方向,得到指引,得到安慰
[00:02:08.000 --> 00:02:13.000]  我們同心仰望,奉耶穌基督的聖名求
[00:02:13.000 --> 00:02:18.000]  阿們。今天我們面對的情況
[00:02:18.000 --> 00:02:23.000]  是一個前所未有的驚恐
[00:02:23.000 --> 00:02:29.000]  我們從來沒有試過這麼嚴重的處境
[00:02:29.000 --> 00:02:31.000]  有全球的疫症
[00:02:31.000 --> 00:02:35.000]  俄羅斯入侵烏克蘭的戰事
[00:02:35.000 --> 00:02:38.000]  天然的災害等等
[00:02:38.000 --> 00:02:42.000]  周圍籠罩著我們,威脅著我們
[00:02:42.000 --> 00:02:45.000]  我們現在面對的情況
[00:02:45.000 --> 00:02:48.000]  其實是非常非常困難的
[00:02:48.000 --> 00:02:52.000]  這個全球的疫症叫COVID-19
[00:02:52.000 --> 00:02:58.000]  在香港的新聞報告中
[00:02:58.000 --> 00:03:00.000]  已經有超過一百萬人感染
[00:03:00.000 --> 00:03:04.000]  這個疫症在全球
[00:03:04.000 --> 00:03:08.000]  其實有四億多人受到感染
[00:03:08.000 --> 00:03:13.000]  還有全球死亡人數
[00:03:13.000 --> 00:03:16.000]  你知道多少嗎?
[00:03:16.000 --> 00:03:19.000]  原來已經超過六百萬人
[00:03:19.000 --> 00:03:22.000]  整個香港只有七百多萬人
[00:03:22.000 --> 00:03:26.000]  即是快要超過香港人口了
[00:03:26.000 --> 00:03:30.000]  這個情況
[00:03:30.000 --> 00:03:35.000]  如果我們比較2003年印象深刻的沙士
[00:03:35.000 --> 00:03:39.000]  那時候全球感染的人數只有八千人
[00:03:39.000 --> 00:03:43.000]  死亡人數是七百七十四人
