
[00:00:00.000 --> 00:00:05.200]  各位親愛的弟兄姊妹,大家主妹平安,很久沒有見面了,非常想念
[00:00:05.200 --> 00:00:09.600]  今天和大家分享馬拉基書
[00:00:09.600 --> 00:00:15.280]  從歷史的角度看,就約前17卷書
[00:00:15.280 --> 00:00:21.760]  摩西五經涵蓋了遠古時期宇宙萬物和人類的起源
[00:00:22.800 --> 00:00:30.760]  以色列人的族長時期,維奴時期,還有初埃及次律法,曠野漂流時期
[00:00:30.760 --> 00:00:34.720]  其中貫穿的一條主線就是神與人立約
[00:00:34.720 --> 00:00:42.240]  接著歷史書12卷,涉及的是佔領迦南及之後的逝世時期
[00:00:42.240 --> 00:00:49.280]  王朝興起,分裂,衰落,以色列人被擄和回歸時期
[00:00:50.280 --> 00:00:52.880]  中間隔了五卷《詩歌智慧書》之後
[00:00:52.880 --> 00:00:59.480]  就是從以塞亞書到馬拉基書一共17卷的先知書
[00:00:59.480 --> 00:01:06.640]  內容包括王國分裂之後,從公元前九世紀至公元前五世紀
[00:01:06.640 --> 00:01:11.520]  神界眾先知對他子民說話的記錄
[00:01:11.520 --> 00:01:17.960]  期間經歷了公元前722年北伯以色列被亞書帝國所滅
[00:01:19.120 --> 00:01:24.200]  公元前586年南國猶大被巴比倫帝國所滅
[00:01:24.200 --> 00:01:31.280]  最後,回觀到同屬波斯時期,貝魯回歸後的三卷先知書
[00:01:31.280 --> 00:01:35.800]  就是哈蓋書、薩加利亞書和馬拉基書
[00:01:35.800 --> 00:01:41.680]  其中哈蓋書和薩加利亞書的背景是重建聖殿時期
[00:01:41.680 --> 00:01:47.880]  而馬拉基書則是處理聖殿重建之後以色列人的信仰問題
[00:01:49.600 --> 00:01:54.160]  一般來說,人是喜歡宏大的工程,轟轟烈烈大幹快上
[00:01:54.160 --> 00:01:57.080]  如果真心為神,當然可圈可點
[00:01:57.080 --> 00:02:04.240]  其雄心壯志可嘉,但是若是為了自己圖謀大事,則巴比塔前車之鑑
